accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.7008440494537354,0.8177538514137268,0.5942917466163635,0.6867814064025879,0.8305165767669678,0.5609164237976074
0.7047918438911438,0.8218535780906677,0.5283892154693604,0.7291242480278015,0.8320401310920715,0.4959551692008972
0.7077831029891968,0.8222047090530396,0.5259125828742981,0.729189932346344,0.8294121026992798,0.5052490830421448
0.7056208252906799,0.8224102854728699,0.5250449776649475,0.7085933685302734,0.8299012184143066,0.544594943523407
0.7049599289894104,0.8225022554397583,0.5243527293205261,0.7032718062400818,0.8303678631782532,0.5371633768081665
0.7047280669212341,0.8225916624069214,0.5235162377357483,0.7053412795066833,0.8311418890953064,0.5355854034423828
0.70708167552948,0.8225668668746948,0.5235375761985779,0.6877669095993042,0.8299559354782104,0.5727091431617737
0.7080381512641907,0.8230979442596436,0.5225830078125,0.6900006532669067,0.8312429785728455,0.5434680581092834
0.7034701108932495,0.8230533599853516,0.5226292014122009,0.7043558359146118,0.8306787610054016,0.5438007712364197
0.7060961723327637,0.8227457404136658,0.5231516361236572,0.7144734263420105,0.8309319615364075,0.5429487228393555
0.7070410847663879,0.8232082724571228,0.5225068926811218,0.7015964984893799,0.8312153220176697,0.5325741767883301
0.7051628232002258,0.8230698108673096,0.5223910808563232,0.7081006765365601,0.8301135897636414,0.5356686115264893
